SDSS_NAME,RA,DEC,REDSHIFT,g_SDSS,gerr_SDSS,r_SDSS,rerr_SDSS,i_SDSS,ierr_SDSS,LOGBH,LOGEDD_RATIO,LOGLBOL,ra,dec,g_HSC,gerr_HSC,r_HSC,rerr_HSC,i_HSC,ierr_HSC,hsc_id
b'000827.70+011452.1',2.115448,1.247824,1.2932,20.233,0.025,19.861,0.027,19.834,0.044,8.690725049466362,-0.8926834655737039,45.898412129010225,2.115448504790302,1.247837222808206,20.4564648,0.00164550415,19.9873161,0.00149607554,20.1339417,0.00132593,41649667963904583
b'001237.35-002659.2',3.155647,-0.449796,1.9115,20.677,0.031,20.659,0.035,20.421,0.038,9.314236779885041,-1.4267347855240757,45.98787253947853,3.155662447737106,-0.4497740760497408,20.0973969,0.00329271168,19.9882507,0.00237094495,19.8800392,0.00180521456,40585611291132377
b'020920.10-005003.8',32.333779,-0.834396,0.7832,19.724,0.027,19.625,0.022,19.694,0.027,8.089366331436981,-0.5760827206071824,45.61365415594736,32.33378499813249,-0.8344038832513786,19.7580376,0.00102580921,19.7169685,0.000998082105,19.8160439,0.00203521387,40673838509344226
b'100114.29+022356.8',150.309567,2.399124,1.7961,19.179,0.018,19.189,0.018,18.99,0.024,8.935865671132017,-0.6475377838834717,46.388698432366105,150.3095759182675,2.399127932865348,18.9464588,0.000731451379,18.9972076,0.000629535178,18.8303394,0.000471203763,43158601644139081
b'100116.78+014053.5',150.319941,1.681554,2.0541,19.794,0.026,19.712,0.025,19.581,0.025,8.926757858569562,-0.4750922057314213,46.55203619795571,150.31994266824756,1.6815522876521418,19.8444214,0.00127525977,19.7947121,0.00115778623,19.6083698,0.000697012583,43158584464273187
b'100926.43-001620.6',152.360132,-0.272413,1.5605,19.222,0.019,19.115,0.016,18.963,0.02,9.416087981155641,-1.04846270991235,46.467995816360855,152.36014409043077,-0.2724129831156358,19.4341774,0.000850309094,19.2934628,0.000685050851,19.2170601,0.00058232306,41030093161646786
b'115449.42+013443.5',178.705938,1.578754,0.469,18.02,0.018,17.923,0.018,17.722,0.014,8.545095001346475,-0.7569811728210283,45.88848437364301,178.7059298347374,1.5787753532478277,19.1110153,0.00097561517,18.8864632,0.00102830282,18.6308098,0.000618482591,43242009909024603
b'121220.65+000852.3',183.086074,0.147876,1.003,18.824,0.063,18.644,0.026,18.623,0.029,8.411033356918526,-0.3268692834725826,46.18453461856351,183.08608106612587,0.147875818602897,18.6712151,0.000584865978,18.4812126,0.000508708938,18.520813,0.000473202323,42191426548687459
b'122400.78+005919.9',186.003291,0.988877,1.4954,19.47,0.02,19.04,0.023,18.837,0.023,8.867567764816883,-0.48158830425644794,46.486350005678,186.00329046547225,0.9888712497445656,19.6640663,0.000898996776,19.0375938,0.000782002695,18.9298286,0.000550579629,42200377260537433
b'142614.71-004352.1',216.561302,-0.731149,1.8067,18.908,0.019,18.917,0.018,18.699,0.018,9.06096343350363,-0.4449192527122747,46.71641472590892,216.56131373672693,-0.7311318348025162,19.1078491,0.000624113716,19.0531273,0.000630456838,18.8080311,0.000425516482,41218921398827686
b'145635.72+001150.7',224.148855,0.197423,2.3904,18.967,0.023,18.995,0.015,19.02,0.017,9.420195107267826,-0.6175481200544013,46.903017532330985,224.1488667438405,0.1974297085958178,19.5946751,0.000972850074,19.6764812,0.000895036967,19.5523472,0.000727879291,42309486609722619
b'145955.12-014808.4',224.979671,-1.802337,0.5495,19.104,0.03,19.03,0.018,18.814,0.018,7.715560973345195,-0.10646491114932388,45.70946660731344,224.97967904061383,-1.8023421797514376,19.2789497,0.000896506768,19.1610107,0.000946869957,18.9668751,0.000761607662,40176455526671855
b'220142.30-002458.6',330.426261,-0.416282,2.0253,20.09,0.021,20.008,0.03,19.82,0.026,8.688076971877273,-0.2941685731660826,46.49427894382875,330.42627444953484,-0.4162928947251094,20.6919384,0.0022888286,20.5794868,0.00243877177,20.2955704,0.00139633263,41557717009041922
b'221059.31-010335.8',332.747164,-1.059957,1.4577,20.646,0.036,20.205,0.027,20.059,0.038,8.909192745490026,-0.9328727613249299,46.07669052928266,332.7471538172662,-1.0599585983564963,21.1203156,0.0027226815,20.6912842,0.00234033517,20.5264015,0.00184299075,41566908239084787
b'223123.12-004536.9',337.846343,-0.760259,2.1507,19.72,0.024,19.511,0.02,19.41,0.023,9.445687140657917,-0.8892081853587257,46.656849500416754,337.84635512381897,-0.7602475279359199,19.8356266,0.00114790711,19.6183949,0.000968220527,19.5193348,0.000906164816,41579698651694479
b'231413.86+002435.3',348.557778,0.409815,2.1524,20.333,0.023,20.231,0.029,20.006,0.03,8.640981666310234,-0.3382457045722518,46.40310650685554,348.5577790505367,0.4098279168771009,19.9750843,0.0010824952,19.839983,0.00123997906,19.6431847,0.00078880199,42678926811622976
b'231742.68+011425.2',349.427871,1.240341,0.518,19.556,0.022,19.56,0.02,19.316,0.021,9.000980126963384,-1.7838796231824503,45.3174710488985,349.42784961871,1.240349156648284,20.560833,0.00133095786,20.3971329,0.00128715881,19.997488,0.000906146946,42683758649829387
b'233558.84-002041.8',353.9952,-0.344945,1.358,20.598,0.035,20.19,0.033,20.137,0.043,8.96124237109241,-1.2170581958273985,45.844554720382575,353.99519724224746,-0.3449599019773181,20.7001896,0.00182774384,20.2593803,0.00120378193,20.1827087,0.00111980154,41628085753249074
b'234110.00-004159.2',355.291699,-0.699778,3.8168,21.213,0.054,19.962,0.037,19.779,0.034,9.424097912549524,-0.7792220042957965,46.74524645337129,355.29169690185546,-0.6997529097215293,20.9304161,0.002135352,19.8238468,0.00141077512,19.6007633,0.000967079308,41632612648776102
b'001536.78+003757.3',3.90329,0.632598,1.3722,20.488,0.046,20.355,0.027,20.293,0.041,8.66893385445675,-0.9087411692090299,45.86056323036528,3.903288949471469,0.6325973521449159,20.6440964,0.00254252739,20.292141,0.00175887125,20.234539,0.00474238768,41659271510755690
b'021449.78-011126.6',33.707427,-1.190738,1.785,20.324,0.028,19.517,0.018,19.013,0.021,10.138000913286284,-1.6464669072917886,46.59190455111206,33.70744297622503,-1.190717353812555,19.8208599,0.0011771454,19.2886658,0.000880864507,18.686636,0.00123671931,40678365404875364
b'091921.30+014814.3',139.838769,1.803999,1.1895,19.498,0.023,19.303,0.018,19.335,0.026,8.514778390509704,-0.5091503821551058,46.10599855347216,139.83876794965326,1.8040218852154288,19.3613567,0.000958842691,19.2571144,0.000908518385,19.4821606,0.000744430523,43127802433655942
b'091942.09+031123.9',139.92538,3.18998,1.4611,19.14,0.015,18.9,0.014,18.741,0.017,9.07559846741574,-0.6806389980762617,46.49533001445704,139.9253780825301,3.189985193528951,19.235075,0.00084614486,19.0267773,0.000849131786,18.959053,0.000450797612,44192125394384314
b'094026.17-000131.7',145.109058,-0.025483,1.9834,19.434,0.019,19.312,0.017,19.12,0.023,9.863952284373154,-1.4336879315864337,46.530634897904285,145.10907926589198,-0.0254737714046911,20.0615921,0.00162919925,19.7287598,0.00131037226,19.3949642,0.000624232984,41007969785110875
b'100802.15+012831.0',152.008981,1.47529,0.9585,19.108,0.022,18.891,0.024,18.919,0.023,8.680961896614642,-0.6788974195061499,46.102435022226054,152.00897736449744,1.4752890160042085,19.2600594,0.00100387307,19.0273132,0.000721969176,18.9935875,0.000557987485,42099097636727238
b'113659.98-005517.3',174.249946,-0.921489,1.9452,19.319,0.021,19.292,0.022,19.226,0.021,9.566489687852645,-1.0577078704367864,46.60915236253342,174.24995948211637,-0.9214809678558435,19.7007809,0.00113568653,19.5743885,0.00106713607,19.2946854,0.00079932902,41096321557366088
b'120624.61+001205.8',181.602576,0.201638,0.6928,18.772,0.043,18.826,0.03,18.883,0.038,8.214299948470096,-0.7115085446770664,45.60316194891059,181.60258112138573,0.201648128140053,18.8468475,0.000699113007,18.8870068,0.0006321455,18.9174919,0.000463784003,42187028502186921
b'120823.93-005346.2',182.099715,-0.896184,1.3333,19.064,0.024,18.79,0.016,18.9,0.019,9.480842047143112,-1.2836544833133985,46.29755810894728,182.09971604882335,-0.8961589752450614,19.3568649,0.000732803601,19.0396271,0.00055066112,19.1529655,0.000557654072,41118036912013603
b'122246.81+021051.1',185.695054,2.180875,1.8542,18.624,0.029,18.628,0.023,18.439,0.018,9.042668258214736,-0.2649580542427188,46.878080749089584,185.69506736625831,2.180894161136281,18.4756527,0.00124032539,18.4152908,0.00115497783,18.2694435,0.000905260851,43264287904378528
b'134434.84-013917.9',206.145192,-1.65498,0.4936,18.81,0.022,18.651,0.023,18.448,0.018,7.852465206968868,-0.35301832269122,45.59981742939521,206.1452038605265,-1.6549783881186684,18.8800259,0.00100692257,18.7327042,0.00075115927,18.7113953,0.000660364982,40124370458271498
b'135029.11-005652.7',207.621301,-0.947997,1.634,20.884,0.037,20.33,0.029,19.77,0.026,8.498494572197956,-0.3670110255370318,46.23185409177849,207.6213046791065,-0.9479978296124378,21.2451324,0.00246493355,20.6201172,0.00170236686,20.0233765,0.000902180094,41192528824790574
b'144231.65+004339.8',220.631902,0.727724,1.2107,20.499,0.022,20.145,0.024,20.177,0.036,8.335732589847785,-0.6561618876615896,45.77994124730376,220.63190935432203,0.7277422100665644,20.5740433,0.00214697584,20.2609844,0.00165595103,20.2026138,0.00121032901,42301115718461625
b'144625.50+005229.7',221.606262,0.874935,1.0522,19.262,0.016,19.009,0.018,18.982,0.018,8.78542932713058,-0.7845380464927842,46.10126182575536,221.60627316196005,0.8749224435036436,19.6061821,0.000861729903,19.254446,0.000906783156,19.2812977,0.000630234135,42305792937844817
